Date,Orders,PPI_ConcreteProducts_lag3,PPI_ConstructionMaterials_lag3,All_EmployeesConstruction_lag3,HomesUSA_lag3,UnemploymentRate_lag3,JobOpenConstruction_lag3
1/1/2018,1.266171346,258.5,333.769,7093,103,3.7,390
2/1/2018,-0.617705147,259.2,330.548,7184,98,3.6,331
3/1/2018,0.882906472,263.9,326.32,7194,95,3.5,413
4/1/2018,0.69360659,262.3,225.8,7212,103,4,255
5/1/2018,1.323790743,264.2,228.7,7274,102,4.1,212
6/1/2018,0.766773367,263.8,231.3,7292,101,4,223
7/1/2018,0.337405807,264,232.4,7318,98,4,234
8/1/2018,0.965349703,264.4,236.8,7347,97,3.8,266
9/1/2018,0.135110646,265.6,239.2,7375,97,4,304
10/1/2018,0.743250674,265.4,239.6,7389,95,3.8,278
11/1/2018,0.054999074,266,239.4,7386,96,3.8,290
12/1/2018,-0.036089756,266.8,240,7396,95,3.7,303
1/1/2019,0.377103153,266.6,238.7,7424,92,3.8,275
2/1/2019,-0.076459178,267.5,238.8,7396,90,3.8,301
3/1/2019,0.351609034,267,238.3,7422,90,3.9,346
4/1/2019,0.368903814,269.2,238.5,7459,88,4,309
5/1/2019,0.324949981,270.6,238.1,7486,90,3.8,282
6/1/2019,0.43996475,273.2,238.1,7511,91,3.8,349
7/1/2019,0.211996249,272.6,237.2,7525,92,3.6,416
8/1/2019,0.41917517,274.5,237.3,7530,93,3.7,362
9/1/2019,0.780797373,274.3,236.3,7551,94,3.6,305
10/1/2019,1.471737282,274.9,235.6,7556,96,3.7,321
11/1/2019,-0.343273726,275,234.4,7545,97,3.7,325
12/1/2019,-0.19814991,275.3,234.4,7528,98,3.5,333
1/1/2020,0.265090328,276.4,233.8,7580,99,3.6,320
2/1/2020,-0.382791851,277.4,232.8,7608,100,3.6,241
3/1/2020,0.841777155,278.7,232.2,7539,98,3.6,264
4/1/2020,-0.464113162,278.4,233.4,6527,100,3.5,293
5/1/2020,-0.326964659,279.2,234.6,7009,104,3.5,303
6/1/2020,0.763278567,279.1,236.3,7170,96,4.4,230
7/1/2020,2.182212227,279.5,234.3,7195,73,14.7,208
8/1/2020,2.548135723,278.5,233.3,7225,80,13.2,282
9/1/2020,2.368691177,280.4,234.8,7256,86,11,236
10/1/2020,1.421824367,281.1,237,7310,97,10.2,298
11/1/2020,-0.478405998,279.7,240.9,7317,95,8.4,243
12/1/2020,-0.032146904,281.5,246.9,7355,96,7.9,232
1/1/2021,-0.262221246,281,246.4,7363,100,6.9,247
2/1/2021,-0.598707772,283.5,244.3,7291,101,6.7,260
3/1/2021,0.189100827,284.8,248,7395,104,6.7,268
4/1/2021,-0.760499096,287.9,256.4,7406,107,6.3,299
5/1/2021,-0.88761125,289.2,264.6,7394,100,6.2,257
6/1/2021,-1.369311201,290.3,276.7,7400,109,6.1,336
7/1/2021,-0.980447479,292.641,291.8,7415,102,6.1,329
8/1/2021,0.629266424,296.858,305.9,7431,105,5.8,308
9/1/2021,-0.074218921,298.646,315.7,7472,105,5.9,321
10/1/2021,1.004867828,300.499,313.542,7514,104,5.4,337
11/1/2021,-0.717217341,303.266,313.083,7560,105,5.2,362
12/1/2021,-1.476037021,305.527,317.136,7594,105,4.8,348
1/1/2022,-0.321632848,308.978,322.12,7590,108,4.5,392
2/1/2022,-1.563138193,312.915,328.94,7669,111,4.2,366
3/1/2022,-0.131524682,314.125,335.032,7692,109,3.9,359
4/1/2022,-1.467613656,318.642,345.742,7698,116,4,383
5/1/2022,-1.446734466,323.031,343.583,7736,117,3.8,383
6/1/2022,-1.067817482,328.13,345.852,7749,119,3.6,426
7/1/2022,-1.565781696,333.08,343.786,7773,120,3.6,440
8/1/2022,-0.849302864,337.37,353.015,7781,120,3.6,405
9/1/2022,-1.315365825,340.946,349.8,7797,121,3.6,353
10/1/2022,-1.249636699,343.9,346.79,7814,117,3.5,353
11/1/2022,-1.321593738,347.344,342.753,7833,116,3.7,386
12/1/2022,-1.747332083,350.787,336.464,7859,110,3.5,423
